"pays","longitude","latitude","nvm_imp_id","nvm_hauteur_max_observee","nvm_date_hauteur_max_observee","nvm_hauteur_max_instantanee","nvm_date_hauteur_max_instantanee","nvm_surcote_pleine_mer","nvm_surcote_instantanee","nvm_id","nvm_extrait_source"
"France","-1.7813021098043578","48.59751918516241",2748,"337","1999-12-27 00:00:00",NULL,NULL,"136",NULL,1,"data in m NGF. modeled data. Storm Track : from West (modeled) / Wind Speed max (m/s) 41 at Baleines (measured) / Wind direction : 275° (measured)  / Lowest pressure 968hPa at Yeu (measured) / Hs max : 11m, Tp (s) 15 / Dm 265°"
"France","-2.1506691658491377","47.24701554772952",2748,"366","1999-12-27 00:00:00",NULL,NULL,"165",NULL,4,"data in m NGF. observed data. Storm Track : from West (modeled) / Wind Speed max (m/s) 41 at Baleines (measured) / Wind direction : 275° (measured)  / Lowest pressure 968hPa at Yeu (measured) / Hs max : 11m, Tp (s) 15 / Dm 265°"
"France","-2.711361950688812","47.562840863126475",3790,"550","2000-01-22 04:20:00","141","2000-01-22 12:01:00","-9","2",214,NULL
"France","-1.9585440983238929","47.01371182049252",3789,"600","2000-01-23 04:45:00","83","2000-01-22 11:45:00","-20","0",381,NULL
"France","-2.6286754791249263","47.572714738819194",3783,"522","2000-01-23 05:00:00","50","2000-01-22 10:11:00","-20","-12",135,NULL
"France","2.386822263092409","51.034666902436754",3791,"627","2000-01-23 05:00:00","616","2000-01-22 16:20:00","-12","-3",443,NULL
"France","-2.8326458929544254","47.51240579339333",3788,"533","2000-01-23 05:09:00","222","2000-01-23 09:06:00","-16","1",155,NULL
"France","-1.3052866403659777","45.93954567978943",3792,"449","2000-01-23 05:10:00","206","2000-01-23 08:45:00","-14","14",42,NULL
"France","-4.502780101120607","48.39989618456144",3803,"546","2000-02-08 05:10:00","546","2000-02-08 05:10:00","24","24",188,NULL
"France","-1.8251236931326835","49.653622795635044",3801,"526","2000-02-08 05:14:00","490","2000-02-10 07:40:00","13","21",143,NULL
"France","-1.2285056220562645","44.71868298896289",3804,"622","2000-02-08 05:20:00","526","2000-02-10 16:59:00","15","23",425,NULL
"France","-1.1518798163003225","46.15640079925765",3814,"553","2000-04-04 03:27:00","425","2000-04-03 12:44:00","38","45",226,NULL
"France","-2.0161509475912043","48.65202729096074",3809,"537","2000-04-04 03:30:00","459","2000-04-03 13:19:00","31","45",166,NULL
"France","2.039146613353644","50.98149896840895",3818,"464","2000-04-05 04:00:00","209","2000-04-04 07:31:00","20","52",53,NULL
"France","2.4869166184073492","51.063698054921474",3830,"617","2000-09-01 05:20:00","505","2000-09-01 02:59:00","8","15",411,NULL
"France","-1.473691585837807","48.601561668541336",3829,"606","2000-09-01 17:10:00","127","2000-09-01 23:35:00","9","19",397,NULL
"France","-1.3237175622155632","46.38131448277733",3828,"534","2000-09-01 17:29:00","125","2000-09-01 00:30:00","5","20",159,NULL
"France","-1.0814167603750207","46.29411277098774",3823,"519","2000-09-01 17:30:00","326","2000-09-01 08:20:00","4","11",126,NULL
"France","-4.285750102185318","47.80056880580594",3831,"447","2000-09-01 17:40:00","207","2000-09-01 09:07:00","7","33",39,NULL
"France","-3.350018415357627","47.756556366132216",3515,"569","2000-10-12 15:00:00","228","2000-10-10 20:39:00","38","63",291,NULL
"France","-3.9153720657969746","48.66390321970604",3513,"546","2000-10-12 15:02:00","337","2000-10-11 23:26:00","29","47",189,"Problème d'enregistrement (stylet) du 11 octobre 10h au 12 octobre 16h."
"France","-1.7618081751281005","49.67814873234906",3503,"601","2000-10-13 23:40:00","372","2000-10-11 07:59:00","-9","48",382,NULL
"France","-1.6782117154871743","49.66007720225191",3531,"572","2000-10-28 16:20:00","213","2000-10-30 10:41:00","31","81",304,NULL
"France","-1.0182337775665928","45.63452638238681",3952,"570","2000-10-30 04:50:00","213","2000-10-30 10:41:00","49","81",297,NULL
